cvAnomatricula,aVelocidadelocal,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana
2003,50,1,39,0,1
2000,100,0,29,0,5
2000,50,0,24,0,0
1998,50,0,29,0,6
2001,50,0,34,0,6
2000,50,0,34,0,5
2005,50,0,49,0,6
2002,80,0,49,0,6
2009,100,0,54,0,6
2003,60,0,29,1,5
2005,50,0,49,0,1
1998,90,0,44,1,6
2006,90,0,49,0,0
2008,50,0,54,0,1
2004,50,0,17,0,6
1992,50,0,20,0,5
1997,120,0,34,0,6
2000,50,1,34,0,5
2007,50,1,59,1,1
2001,90,0,54,0,1
2004,50,1,49,0,5
1988,90,0,69,0,0
2010,50,0,54,0,1
2009,50,0,39,0,1
1997,90,1,39,0,6
1996,50,0,39,0,1
2003,80,0,54,0,0
2001,50,0,17,0,6
2008,100,1,24,0,1
1988,50,0,59,0,5
2007,50,0,29,0,0
1997,120,0,29,0,6
1990,50,0,54,0,1
2007,50,0,29,0,6
2003,50,0,39,0,6
1997,50,0,34,0,1
2002,50,0,39,0,1
2000,50,0,17,0,5
1992,40,1,20,0,6
2001,50,0,54,0,1
2009,50,0,29,0,5
1986,50,0,59,0,5
1993,50,0,20,0,0
2005,50,1,44,1,5
2003,90,1,49,0,6
2000,50,0,20,0,0
1999,50,0,39,0,5
1985,50,0,54,0,0
2009,50,0,29,0,1
2005,50,0,54,0,0
1995,50,0,54,0,1
1993,50,1,24,0,1
2001,50,1,20,0,0
2007,50,0,24,0,5
2008,90,0,59,0,1
1994,50,0,69,0,0
1992,50,1,24,0,1
1999,50,0,29,0,1
1995,120,0,34,0,0
2003,50,1,34,0,0
2003,50,0,34,0,6
1998,50,0,49,0,5
1992,50,0,39,0,0
2007,120,0,54,0,6
2006,50,0,39,0,6
1994,50,0,34,0,5
2000,50,1,49,0,5
2009,50,0,39,1,6
2005,50,0,49,0,6
1999,50,0,24,0,5
2000,50,1,39,0,6
1993,50,1,54,0,6
1998,50,0,29,0,1
1989,50,0,69,0,6
1994,50,0,54,0,6
2007,90,1,74,0,5
1999,50,0,39,0,5
2007,50,0,29,0,6
1993,50,0,44,0,1
1999,50,1,39,0,1
2008,50,0,34,0,0
1991,50,0,24,0,1
1996,90,1,44,0,0
1996,50,0,54,0,6
2001,50,1,54,0,5
2002,90,1,39,0,1
2002,100,1,29,0,6
1995,50,1,44,0,6
1998,90,0,29,0,0
2004,50,0,49,0,6
2002,90,0,39,0,0
1991,50,0,24,0,1
2004,120,0,34,0,0
2008,50,1,34,1,6
2007,50,0,59,0,5
1991,50,0,29,0,0
1997,50,0,24,0,0
2006,50,1,39,0,1
2008,90,0,24,0,0
1999,50,0,44,0,6
1992,90,1,69,0,6
2004,50,0,20,0,0
2007,50,0,75,0,1
2005,50,0,44,0,6
2008,50,0,75,0,6
2000,50,0,20,0,5
1993,50,0,29,0,6
2009,120,0,24,0,0
2004,50,1,49,0,0
2002,50,1,34,0,5
1997,50,0,39,1,5
1994,50,0,29,0,1
1992,120,0,49,0,6
2000,50,0,44,0,5
2002,50,0,24,0,1
1992,30,0,20,0,1
1997,50,0,49,0,6
1993,50,1,59,0,1
2002,50,1,44,1,5
1988,50,0,34,0,5
2000,50,1,44,0,1
1990,50,0,39,0,6
2002,50,0,24,0,1
2008,50,0,29,0,1
2005,60,0,44,1,1
2003,50,1,44,0,5
2007,120,0,39,0,0
1990,50,0,49,0,1
1998,90,1,39,0,1
2009,120,0,74,0,1
1991,90,0,49,0,6
2005,120,0,69,0,6
2002,90,1,39,0,6
1994,50,1,24,0,5
2000,90,0,49,0,5
2000,50,1,29,0,6
2005,50,0,39,0,1
2005,40,1,44,0,5
1995,90,0,29,0,0
2003,50,0,39,1,0
1999,50,0,49,0,0
1997,50,1,54,0,6
2008,50,0,59,0,5
2002,50,0,24,0,1
2005,120,1,34,0,1
2000,50,1,29,0,0
2006,60,0,24,0,6
2004,50,0,20,0,6
2008,50,0,20,0,6
1999,120,0,24,0,6
2004,50,0,59,0,6
1979,50,0,74,0,6
1993,90,0,75,0,1
2003,50,1,34,0,1
1994,50,0,39,0,0
1999,90,0,39,0,6
2003,50,0,75,0,6
1999,50,1,69,0,5
1987,50,0,74,0,5
1993,50,0,69,0,6
1998,50,1,44,0,5
2008,50,0,34,0,0
1996,50,0,49,0,0
2007,50,0,29,0,1
2002,50,1,17,0,6
2002,100,0,34,0,6
1998,50,0,29,0,5
2004,50,1,29,0,6
1992,90,0,44,0,5
2006,50,1,59,0,0
1994,90,0,54,0,5
2002,50,0,74,0,6
1994,50,0,69,0,0
1993,50,1,59,0,5
2006,50,0,29,0,1
1997,70,0,29,0,1
1990,50,0,34,0,6
2004,50,1,29,0,6
2005,90,0,49,0,1
2004,90,0,44,0,6
2005,50,1,34,0,1
1998,90,0,39,0,6
2002,50,1,39,0,6
2002,50,0,54,0,0
1993,50,0,44,0,5
1998,50,1,44,0,1
1998,50,1,24,0,1
2004,50,0,44,0,1
2007,50,1,54,0,6
1996,90,0,24,0,5
1995,50,1,54,0,1
1992,50,0,34,0,1
1996,50,0,24,0,1
1989,50,0,54,0,6
1988,50,0,44,0,6
1994,90,0,49,0,5
2007,100,0,34,0,1
2008,50,1,34,0,6
2008,50,0,44,0,6
2009,50,0,29,0,1
2003,50,1,34,0,1
1995,50,0,29,0,6
2003,50,0,29,0,0
1986,50,0,69,0,5
2000,70,0,29,0,5
2010,50,0,69,0,0
2005,50,0,44,0,0
2007,50,1,24,0,5
2008,70,1,54,0,5
2000,50,0,20,0,1
1991,50,1,24,0,5
1999,70,1,24,1,0
2001,40,1,39,0,1
1994,50,0,75,0,0
2009,50,1,20,0,5
1996,50,0,59,0,6
1995,50,0,29,0,6
1991,90,0,69,0,1
1990,50,0,34,0,5
2004,50,0,49,0,6
1999,50,0,39,0,6
2002,50,0,29,0,1
1994,50,0,49,0,1
2002,60,1,29,0,1
2000,100,0,59,0,0
2004,50,0,59,0,6
1999,50,0,24,0,1
1997,50,0,75,0,6
2010,120,0,24,0,6
2004,50,0,54,0,6
1994,50,0,39,0,5
2000,50,0,24,0,0
2002,120,1,34,0,6
2010,50,1,59,0,1
1992,50,1,44,0,6
2009,50,1,29,0,5
2005,70,0,34,0,6
1997,50,1,49,0,5
2009,50,1,34,0,1
1998,50,0,29,1,5
2002,50,0,39,0,1
2007,50,1,59,0,5
2007,50,1,39,0,5
2009,50,0,75,0,5
2005,50,0,20,0,1
1998,90,1,49,0,6
2005,50,1,20,0,6
1998,50,1,29,0,5
1997,50,0,20,0,0
1994,50,0,59,1,6
1996,50,0,44,1,0
2006,50,0,75,1,6
2008,50,1,59,0,0
2000,50,1,54,0,0
2002,90,0,29,0,5
2006,50,0,29,1,1
1995,50,0,74,0,0
1998,50,0,34,0,0
1999,50,1,34,0,5
2011,50,0,49,0,1
1996,50,0,29,0,0
1997,120,1,34,0,5
1998,50,0,54,0,5
2004,50,1,59,0,6
1990,50,0,75,0,1
1997,50,1,20,0,5
1996,50,1,20,0,5
2007,50,0,39,0,0
1998,50,0,34,0,1
2003,50,0,54,0,1
2001,50,0,34,0,5
2005,50,1,34,1,1
2005,50,1,34,0,5
2010,50,0,17,0,6
2005,50,0,59,0,1
2007,50,0,29,0,5
1996,120,0,34,0,6
2010,50,0,49,0,0
2000,50,1,39,0,6
1998,50,1,44,0,6
2005,40,0,24,0,1
2000,100,0,34,0,6
2007,90,0,75,0,1
2010,50,0,39,0,6
1995,50,0,29,0,5
2006,50,0,75,0,0
1993,90,1,44,0,0
2006,90,1,49,0,0
1991,90,0,34,0,6
2001,50,0,54,0,6
2004,50,1,44,0,6
2009,50,0,44,0,0
1990,90,0,74,0,5
1995,50,1,44,0,6
1994,50,0,20,0,6
2006,50,1,34,0,6
2010,50,0,44,0,5
1999,50,0,29,0,6
1991,50,0,54,0,6
2007,50,0,39,0,6
2003,50,0,54,0,1
2009,50,0,39,0,5
1998,50,1,49,0,0
1997,50,1,34,0,6
2010,40,0,20,0,0
2005,50,0,59,0,1
1989,50,0,24,0,0
1993,70,0,75,0,6
1998,90,1,29,0,6
1999,50,0,34,0,0
2006,70,0,39,0,1
2002,90,1,29,0,6
2004,50,0,59,0,1
2007,50,0,44,0,1
1987,50,0,44,0,1
1991,50,0,69,0,6
2003,50,0,34,0,6
1998,50,0,44,1,5
2001,50,0,20,0,6
2004,90,0,39,0,1
1999,50,1,49,0,1
2006,50,0,20,1,6
2003,50,0,34,1,6
2005,50,0,24,1,1
2005,50,1,39,0,5
1997,50,0,59,0,0
1990,50,0,54,0,6
2009,50,0,49,0,5
1995,50,0,44,0,1
2001,50,0,74,0,1
1997,50,0,59,0,0
2000,50,0,39,0,1
2005,50,0,59,0,6
2009,60,0,29,0,0
2003,50,0,34,0,5
1999,50,0,24,0,5
1997,50,0,39,0,0
1995,50,0,20,0,0
1998,120,0,20,0,0
2005,90,0,44,0,1
1999,90,0,20,0,1
2005,50,0,54,0,1
1989,90,0,54,0,6
2007,50,1,29,0,6
1979,50,0,75,0,6
1999,50,1,39,0,5
2005,90,0,39,0,6
1992,50,1,39,0,5
2005,50,0,49,0,6
2000,80,1,39,0,5
2002,50,1,20,0,0
1998,50,0,24,0,5
2001,50,1,39,1,6
2010,120,0,39,0,6
1997,50,0,29,0,6
1983,50,0,59,0,6
2007,50,0,34,0,1
2001,50,0,44,0,6
1992,50,1,54,0,0
1998,50,1,24,0,1
1998,50,0,59,0,1
1900,50,0,75,0,5
1991,50,1,20,0,5
2005,50,1,34,0,5
2000,50,0,39,0,1
1977,70,0,54,0,0
2005,50,0,69,0,6
2002,50,0,54,0,5
2004,70,1,24,0,5
2009,50,0,49,0,5
1992,90,0,74,0,5
2001,90,0,39,0,0
2000,50,0,34,0,6
1994,120,0,29,0,6
2001,50,0,39,0,0
2005,50,1,44,0,6
2006,60,1,34,1,6
1980,90,0,39,0,1
1991,120,0,54,0,1
2004,40,0,39,0,1
1995,90,0,54,0,5
1997,50,1,44,0,1
2009,50,1,44,0,6
2003,120,0,44,0,6
1997,70,0,54,0,6
2001,50,0,59,0,0
1989,50,0,44,0,6
2001,50,0,39,0,0
2005,50,0,29,0,1
2009,120,0,39,0,1
1995,50,0,54,0,5
2005,50,0,39,0,1
2008,50,0,54,0,1
2001,120,0,49,0,6
2004,120,1,34,0,0
1985,50,0,69,1,1
2005,60,0,49,0,5
2005,50,0,24,0,1
1997,50,1,24,1,1
1999,50,1,39,0,1
2003,50,0,34,0,1
1997,50,1,39,0,5
1996,90,0,54,0,6
1993,90,0,24,0,0
2001,50,0,75,0,0
1996,50,0,54,0,5
1993,50,1,24,0,0
1997,50,0,69,1,6
2001,50,1,44,0,6
1990,120,0,44,0,6
1994,90,0,49,0,6
2001,90,1,39,0,1
2007,120,0,54,0,0
1994,50,0,20,0,0
2001,50,0,34,0,0
1992,50,0,54,0,5
2006,30,0,20,0,6
1993,50,1,49,0,1
2000,50,0,49,0,5
2000,50,1,44,1,6
2007,50,0,69,0,6
1999,50,0,29,0,6
2000,50,1,54,0,1
2008,50,1,34,0,6
2001,50,1,54,0,0
1990,50,0,39,0,6
2002,50,0,24,0,6
2001,50,0,39,0,5
2010,50,0,24,0,1
2001,50,0,49,0,5
2005,50,0,39,0,6
2003,50,0,34,1,1
2005,50,1,44,0,1
2003,50,0,34,0,1
2002,50,0,24,0,6
2010,50,0,29,0,6
2008,60,0,20,0,6
1993,50,0,69,0,0
2003,50,1,34,0,1
1998,50,0,49,0,5
2007,50,0,24,1,0
1998,50,0,44,0,0
2005,120,0,44,0,5
2002,50,1,34,0,5
1997,50,1,24,0,6
2000,50,0,44,0,1
1988,90,0,75,0,6
1994,50,0,49,0,0
1984,50,0,24,0,1
2000,90,0,74,0,1
1998,50,0,24,0,5
1996,50,0,29,0,0
2007,90,0,34,0,1
2005,50,0,39,0,5
1996,50,0,39,0,0
2003,50,1,39,0,6
2000,50,0,34,1,6
2010,50,0,39,1,6
2002,80,0,29,0,0
2008,50,0,29,0,6
2000,50,1,39,0,6
1998,50,1,34,0,0
1998,50,1,24,0,5
2004,90,0,74,0,6
2004,90,1,49,0,0
2003,50,1,34,0,1
1999,50,0,20,0,1
2003,50,0,39,0,6
1999,50,0,74,1,5
2010,50,1,44,0,5
1996,50,0,34,0,5
1996,50,1,39,0,1
1996,50,1,20,0,0
1993,50,0,34,0,1
1999,50,1,29,0,1
2003,50,1,34,0,1
2005,50,1,39,0,1
2008,50,0,75,0,6
2006,50,0,29,0,0
1988,50,0,24,0,6
2006,50,0,69,0,0
2008,50,0,20,0,6
1993,50,0,59,0,0
1996,50,0,20,0,0
1997,60,0,39,0,1
2009,90,0,24,0,5
2010,50,0,24,0,6
2000,90,0,44,0,1
1999,50,0,59,0,1
2000,50,0,49,0,6
1994,50,0,54,0,5
2007,50,1,29,0,6
1998,90,0,34,0,6
2001,90,1,34,0,5
2007,50,1,39,0,6
1997,50,0,59,0,1
2010,50,0,54,0,5
2002,50,1,34,0,6
1996,50,0,49,0,1
1997,50,0,59,0,6
2001,70,0,24,0,6
1994,50,0,54,0,1
2000,50,0,20,0,6
2007,50,0,20,1,0
1993,50,0,44,0,5
1976,50,0,74,0,1
2009,50,1,44,0,6
2000,50,0,49,1,0
2005,90,0,24,0,5
1997,50,1,39,0,1
2006,120,1,34,0,6
2009,90,0,54,0,5
2003,50,0,59,0,6
1988,50,1,75,0,0
2004,50,0,24,0,6
2006,50,0,34,0,0
2007,90,0,69,0,1
2000,50,0,59,0,1
2002,50,0,69,0,0
1994,50,1,20,0,0
1998,50,0,34,0,1
2000,120,0,59,0,6
1997,50,0,69,0,5
2003,60,0,20,0,5
2006,90,1,54,0,5
2001,120,0,39,0,5
1995,50,0,20,0,0
2000,120,0,49,0,1
2001,50,1,39,0,1
1990,80,0,74,0,6
2000,50,0,75,0,0
2008,100,1,29,0,5
2001,50,1,39,0,6
2008,50,1,34,0,5
1991,50,1,24,0,5
2002,50,1,34,0,0
1994,50,1,29,0,6
2009,50,0,34,0,0
1990,50,0,20,0,6
1994,60,1,49,0,5
1999,50,0,69,1,6
2007,50,0,44,0,5
2006,50,1,24,0,1
2008,50,1,59,0,1
2000,50,0,74,0,5
2005,50,0,75,0,6
1996,50,0,75,0,5
2003,90,0,75,0,0
2010,50,1,39,0,1
1996,50,0,39,0,1
2000,50,0,54,0,1
2007,120,1,24,0,6
1998,50,0,74,0,0
1997,50,0,44,0,0
2000,50,0,39,0,6
2008,50,0,24,0,1
2002,50,0,39,0,1
1997,50,0,20,0,6
1990,50,0,39,0,6
1993,90,1,24,0,6
2009,50,0,59,0,1
1991,90,0,74,0,6
2004,50,1,24,0,6
2003,120,0,44,0,1
2000,90,1,34,0,0
2010,50,0,39,0,6
1994,80,0,69,0,0
2003,90,0,29,0,1
1999,50,0,39,0,0
2005,50,0,34,0,0
1992,50,0,34,0,1
1985,50,0,69,0,5
2008,50,0,20,0,0
1994,50,0,24,0,0
2010,50,0,34,0,0
1998,120,0,44,0,6
1994,50,0,34,0,0
2008,50,0,39,0,5
2006,50,1,20,1,0
1992,50,0,34,0,6
2001,50,0,49,0,1
2001,50,0,44,0,5
2004,50,0,49,0,6
1984,90,0,34,0,0
2001,50,0,24,0,6
1997,100,1,49,0,1
2001,50,0,59,0,5
1998,50,1,24,0,0
1994,80,1,49,0,0
1986,50,0,54,0,6
2001,50,1,54,0,1
2005,50,1,34,0,1
2009,50,0,54,0,1
2005,50,1,29,1,1
1993,120,0,34,0,6
1999,90,0,54,0,1
2004,50,0,69,0,0
2005,50,1,49,0,1
2004,50,1,34,1,6
2004,90,1,29,0,1
2002,50,0,74,0,0
2005,90,0,54,0,0
2001,50,0,24,0,1
1999,50,1,29,1,6
2006,50,0,74,0,6
1993,90,0,59,0,6
2005,50,0,34,0,5
2005,50,1,44,0,1
1989,50,0,75,0,0
1993,90,1,54,0,5
1992,50,0,44,0,6
