cvAnomatricula,aVelocidadelocal,aVelocidadegeral,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana,aTipoPiso,aTipoVias,aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia
2007,50,50,1,34,0,5,0,2,50,0,1
1994,50,50,0,49,0,6,0,2,50,0,1
1991,50,50,1,24,1,1,0,1,50,0,1
1998,50,50,0,54,0,6,0,2,50,0,1
1995,50,50,0,34,0,1,0,2,50,0,1
2006,50,50,0,39,0,0,0,1,50,0,1
1996,50,50,0,34,0,5,0,1,50,0,1
1988,120,120,0,20,0,6,0,0,120,0,1
2009,50,50,0,39,0,1,0,1,50,0,2
2008,90,90,0,59,0,1,0,1,90,0,1
1997,80,90,0,49,0,5,0,1,80,0,1
1989,80,80,0,59,0,5,0,1,80,0,1
1994,50,50,1,44,0,5,0,2,50,0,1
2008,100,100,0,34,0,0,0,0,100,0,1
1994,90,90,0,34,0,1,0,1,90,0,2
2006,50,50,0,59,0,0,0,0,50,0,2
2004,120,120,0,54,1,5,0,0,120,0,1
2007,50,50,0,34,0,1,0,2,50,0,1
1998,80,80,0,59,0,6,0,0,80,0,1
1998,30,30,1,39,0,5,1,2,30,1,0
1995,120,120,0,29,0,1,0,0,120,0,1
2003,90,90,0,34,0,0,0,1,90,0,2
1986,50,50,0,75,0,6,0,2,50,0,3
1991,50,50,1,20,0,6,0,1,50,0,1
2006,50,50,0,44,0,6,0,2,50,0,1
1996,120,120,0,34,0,6,0,0,120,0,1
1995,90,90,0,39,0,6,0,1,90,0,1
1991,50,90,0,59,0,0,0,1,50,0,1
2000,90,90,1,24,0,0,0,2,90,0,1
1999,50,50,1,29,0,1,0,2,50,0,1
2002,90,90,0,29,0,5,0,1,90,0,1
2006,120,120,1,34,0,0,0,0,120,0,1
2006,90,90,0,69,0,6,0,1,90,0,1
1998,50,50,1,44,0,5,0,2,50,0,1
1997,30,70,0,49,0,0,0,2,30,0,1
1996,50,50,0,39,0,5,0,2,50,0,1
2000,50,50,1,29,0,1,0,2,50,0,1
1998,50,50,1,39,0,5,0,2,50,0,1
2008,50,50,0,54,0,1,0,2,50,0,1
1994,50,50,0,29,0,5,0,2,50,0,1
2005,80,100,1,44,0,5,0,1,80,0,1
2008,120,120,0,24,0,6,0,0,120,0,1
2008,120,120,0,29,0,6,0,0,120,0,1
1997,120,120,0,34,0,6,0,0,120,2,2
1998,50,50,0,34,0,6,0,2,50,0,1
2000,50,50,1,34,0,1,0,2,50,0,1
1996,50,50,0,44,0,5,0,1,50,0,1
1994,50,50,0,54,0,1,0,2,50,0,1
1996,90,90,0,44,0,1,0,1,90,0,2
2006,50,50,1,44,1,5,0,1,50,0,1
2008,90,90,0,59,0,0,0,1,90,0,1
1992,80,120,0,69,0,5,0,0,80,0,1
2005,50,50,0,44,0,0,0,1,50,0,1
2005,90,90,0,29,0,0,0,1,90,0,1
2009,70,70,0,75,0,6,0,1,70,0,1
2007,50,50,0,20,0,5,1,2,50,0,1
2001,50,50,0,54,1,5,0,2,50,0,2
2006,90,90,1,29,0,6,0,1,90,1,0
2005,90,90,0,54,0,5,0,1,90,0,1
2007,90,90,1,59,0,1,0,1,90,0,1
2002,50,50,0,74,0,5,0,2,50,0,1
2000,50,50,0,59,0,5,0,2,50,0,3
1996,50,50,0,34,0,6,0,1,50,0,1
2007,120,120,0,34,0,6,0,0,120,0,1
1997,50,50,0,44,1,1,0,2,50,0,1
1998,100,120,1,20,0,0,0,0,100,0,1
2000,90,100,0,34,0,5,0,1,90,0,1
2007,50,50,0,34,0,0,0,2,50,0,2
1991,40,40,0,20,1,0,1,2,40,0,1
2005,50,50,0,29,0,0,0,2,50,0,1
2000,120,120,1,29,0,6,0,0,120,0,1
1997,50,50,0,34,0,6,0,1,50,0,1
2004,50,50,0,49,1,5,0,2,50,0,1
2009,50,50,1,17,0,1,0,1,50,0,2
2002,50,50,0,44,0,5,0,2,50,0,1
2007,50,50,1,44,0,5,0,2,50,0,2
1995,50,50,0,49,0,1,0,1,50,0,1
2005,80,80,0,20,0,1,0,1,80,0,1
2002,120,120,0,24,0,1,0,0,120,0,1
2006,50,50,0,75,0,1,0,2,50,0,1
1999,50,50,1,54,1,0,0,2,50,0,2
2005,90,120,0,29,0,5,0,0,90,0,2
2005,50,50,1,34,0,5,0,1,50,0,1
1996,120,120,0,24,0,1,0,0,120,0,1
2000,120,120,0,39,0,1,0,0,120,0,3
2007,60,120,0,59,0,6,0,0,60,0,1
