cvAnomatricula,aVelocidadelocal,aVelocidadegeral,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana,aTipoPiso,aTipoVias,aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia,aCaracterísticasTecnicas1,aCondAderência,aNumMortosa30dias,aFactoresAtmosféricos,aNatureza,pAcessóriosPassageiro,pLesõesa30dias
2001,90,90,0,54,1,0,0,0,0,1,1,7,0,1,4,0,0
1999,50,50,0,44,1,0,0,1,0,1,0,5,0,1,3,0,0
1996,40,50,1,59,1,0,0,1,0,3,2,7,0,1,5,0,0
2011,120,120,0,24,1,0,0,0,0,4,1,7,0,1,3,0,0
2010,50,50,1,74,1,0,0,3,0,3,0,6,0,0,8,0,0
1996,50,50,0,69,1,0,1,1,0,1,0,6,0,0,6,0,0
2010,80,100,1,69,1,0,0,6,0,3,2,6,0,0,3,0,0
2011,50,50,1,54,1,0,1,1,0,2,0,7,0,1,7,1,0
1996,50,90,1,34,1,0,0,4,0,2,0,6,0,0,5,0,0
2004,50,50,0,74,1,1,0,1,0,1,0,6,0,0,9,0,0
2005,50,50,0,44,1,0,0,1,0,5,0,7,0,1,8,0,0
2000,50,50,0,75,1,0,0,3,0,2,0,6,0,0,16,0,0
1994,90,90,0,74,1,3,0,4,0,2,0,6,0,0,5,0,0
2009,70,90,1,24,1,0,0,4,0,5,0,6,0,0,9,3,0
2014,50,50,1,44,1,0,0,1,0,3,0,5,0,0,9,0,0
2007,50,90,1,34,1,0,0,4,0,3,0,6,0,0,8,0,0
2009,50,50,0,75,1,0,0,1,0,2,0,7,0,1,9,0,0
2014,50,50,0,34,1,0,0,1,0,1,0,5,0,0,9,1,0
2012,50,50,0,34,1,0,0,4,0,4,0,7,0,1,7,4,0
1984,50,50,0,54,1,0,0,1,0,2,0,6,0,0,15,4,0
2003,50,50,1,44,1,0,0,4,0,1,0,7,0,1,14,0,0
1997,50,50,1,24,1,0,0,1,0,4,0,6,0,0,7,0,0
2007,50,50,0,75,1,0,0,1,0,1,0,6,0,0,5,0,0
2004,50,50,0,39,1,1,0,4,0,1,0,6,0,0,6,0,0
2008,50,50,0,44,1,0,0,1,0,2,0,0,1,1,7,0,0
1996,50,50,1,74,1,0,0,1,0,2,0,6,0,0,8,0,0
2000,50,50,1,49,1,0,0,1,0,3,0,7,0,1,9,0,0
1992,50,50,0,74,1,0,0,4,0,1,0,7,0,0,16,0,0
2000,50,50,0,24,1,0,0,1,0,1,2,6,0,0,5,0,0
2007,50,90,1,49,1,0,0,3,0,3,0,6,0,0,7,1,0
2007,50,50,1,49,1,0,0,4,0,1,0,5,0,1,16,0,0
2002,50,50,1,34,1,0,0,1,0,2,0,6,0,0,7,0,0
1997,50,50,0,20,1,0,0,1,0,1,0,7,0,1,16,0,0
1998,50,50,1,49,1,0,0,1,0,2,0,6,0,0,8,0,0
2004,50,50,1,54,1,0,0,1,0,2,0,7,0,1,10,0,0
2001,50,50,1,49,1,0,0,4,0,2,0,6,0,0,16,0,0
1990,50,50,0,75,1,0,0,4,0,1,0,6,0,0,9,0,0
