cvAnomatricula,aVelocidadelocal,aVelocidadegeral,cvSexo,cvIdade,aSinaisLuminosos,aDiadaSemana,aTipoPiso,aTipoVias,aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia,aCaracterísticasTecnicas1,aCondAderência,aNumMortosa30dias,aFactoresAtmosféricos,aNatureza,pAcessóriosPassageiro,pLesõesa30dias
2005,70,70,1,44,1,0,0,6,0,4,0,6,0,0,8,0,0
1991,90,90,0,44,1,0,0,3,0,1,0,7,0,1,7,0,0
2005,50,90,0,49,1,0,0,4,0,3,0,5,0,0,3,0,0
2006,50,50,0,34,1,0,0,1,0,3,0,6,0,0,5,1,0
2010,120,120,0,29,1,0,0,0,0,3,1,6,0,0,9,0,0
1998,80,80,0,39,1,0,0,6,0,3,2,6,0,0,9,4,0
2005,50,50,0,39,1,0,0,1,0,2,0,5,0,1,5,0,0
1991,50,50,0,39,1,0,0,1,0,2,0,6,0,0,16,0,0
2010,120,120,0,24,1,0,0,0,0,1,1,6,0,0,6,0,0
1998,50,50,1,29,1,1,0,1,0,1,0,6,0,0,5,0,0
2005,50,50,0,20,1,0,0,1,0,1,0,6,0,0,9,1,0
2004,50,50,0,39,1,0,0,1,0,1,0,5,0,0,3,0,0
1992,50,50,1,44,1,0,0,1,0,3,0,6,0,0,7,1,0
2006,90,90,0,75,1,0,0,4,3,0,0,6,1,0,7,0,3
2000,50,50,1,59,1,0,0,1,0,1,0,5,0,1,9,0,0
2001,100,100,1,59,1,0,0,7,0,2,0,7,0,1,8,0,0
1995,50,50,1,49,1,0,0,1,0,1,0,6,0,0,8,0,0
2004,50,50,0,24,1,0,0,1,0,1,0,6,0,1,8,0,0
1995,50,50,0,44,1,0,0,1,0,1,0,6,0,0,6,0,0
1993,50,50,0,44,1,0,2,1,0,2,0,7,0,1,7,0,0
1997,70,90,0,44,1,0,0,4,0,2,0,6,0,0,9,0,0
2006,50,50,1,69,1,0,0,1,0,2,0,7,0,1,10,0,0
2006,50,50,0,34,1,0,0,9,0,3,0,7,0,1,5,0,0
1992,90,90,0,74,1,0,0,3,0,1,0,5,0,0,16,0,0
2002,120,120,0,39,1,0,0,0,0,2,1,7,0,1,10,0,0
1999,50,50,1,49,1,0,0,1,0,1,0,6,0,0,9,1,0
1995,50,50,0,29,1,0,0,1,0,3,0,7,0,1,9,0,0
1991,50,90,0,44,1,0,0,4,0,2,0,7,0,1,7,0,0
1996,100,120,0,49,1,0,0,0,0,1,1,7,0,1,9,0,0
2002,100,100,0,54,1,0,0,7,0,3,2,6,0,0,3,0,0
2000,50,50,0,39,1,0,0,1,0,3,0,6,0,0,11,4,0
1996,120,120,0,54,1,0,0,0,0,3,1,6,0,0,9,0,0
1996,50,50,1,24,1,0,0,3,0,2,0,6,0,0,6,0,0
2007,50,50,0,29,1,0,0,1,0,2,0,6,0,0,3,0,0
2005,50,50,1,39,1,0,0,1,0,2,2,6,0,0,9,0,0
1994,50,50,0,29,1,0,0,1,0,2,0,6,0,0,7,0,0
2001,120,120,0,75,1,0,0,0,0,4,1,6,0,0,9,0,0
1998,60,60,1,49,1,0,0,1,0,1,0,5,0,1,15,0,0
2003,50,50,0,34,1,2,0,4,0,2,0,6,0,0,5,0,0
1999,100,100,1,39,1,0,0,0,0,9,1,6,0,0,9,0,0
1999,100,120,1,39,1,0,0,0,0,3,1,5,0,0,12,1,0
2000,80,80,0,44,1,0,0,4,0,1,0,6,4,0,7,0,0
2006,50,50,0,24,1,0,0,1,0,2,0,6,1,0,7,0,0
1992,90,90,1,39,1,0,0,4,0,2,0,6,0,0,16,0,0
1999,50,50,0,49,1,0,0,4,0,2,0,6,0,0,8,4,0
2005,40,120,0,39,1,0,0,0,0,3,1,6,0,0,9,0,0
1992,50,50,0,59,1,0,0,3,0,1,2,7,2,1,7,0,1
1988,50,50,1,49,1,0,0,1,0,2,0,6,0,0,16,0,0
2002,50,50,0,39,1,0,0,4,0,3,2,5,0,1,8,0,0
2011,120,120,0,34,1,0,0,0,0,1,1,6,2,0,9,0,1
1998,50,50,0,20,1,0,0,4,0,2,0,7,0,1,8,0,0
1998,50,50,0,34,1,0,0,1,0,3,0,6,0,0,9,4,0
1999,50,50,0,34,1,0,0,1,0,2,0,7,0,0,9,0,0
2002,50,50,0,29,1,0,0,1,0,1,0,6,0,0,7,0,0
2007,50,70,0,39,1,0,0,4,0,1,0,6,0,0,3,0,0
2002,90,90,1,29,1,0,0,4,3,3,0,6,0,0,7,1,0
1997,50,50,1,20,1,0,1,1,0,1,0,6,0,0,8,0,0
2011,90,90,1,39,1,0,0,3,0,2,0,6,0,0,10,0,0
2003,50,50,0,69,1,0,0,1,0,2,0,5,0,0,8,0,0
2000,90,90,1,34,1,0,0,4,0,1,0,7,0,1,10,0,0
1996,90,90,0,74,1,0,0,4,0,3,0,6,0,0,6,0,0
2006,50,50,0,24,1,1,0,4,0,1,2,6,0,1,8,0,0
1992,90,90,0,49,1,0,0,3,0,2,0,6,0,0,7,0,0
2007,50,90,0,24,1,0,0,0,0,1,1,5,0,0,3,0,0
1997,80,80,0,34,1,0,0,7,0,2,2,7,0,1,3,0,0
1989,50,90,0,74,1,0,0,4,0,3,0,7,0,1,7,0,0
1993,50,50,0,44,1,3,0,1,0,2,0,6,0,0,7,0,0
2008,90,90,1,59,1,0,0,4,0,2,0,7,0,1,16,0,0
1999,120,120,0,54,1,0,0,0,1,1,1,6,0,0,12,0,0
1997,50,50,0,49,1,0,0,1,0,1,0,7,0,1,8,0,0
2010,50,50,0,39,1,0,0,1,0,3,0,5,0,0,3,1,0
2003,50,50,0,59,1,0,0,1,1,0,0,5,0,4,16,0,3
