
2007,50,50,1,59,1,0,0,1,0,2,0,6,0
2007,50,50,1,39,1,0,0,4,0,1,2,7,0
2009,50,50,0,75,1,0,0,1,0,4,0,5,0
1998,50,50,1,29,1,0,0,4,0,1,0,5,0
2002,90,90,0,29,1,0,0,4,2,3,0,5,0
1999,50,50,1,34,1,0,0,4,0,1,0,6,0
1997,120,120,1,34,1,0,0,0,0,2,1,7,0
1998,50,50,0,54,1,0,0,1,0,1,0,6,0
1997,50,50,1,20,1,0,0,1,0,2,0,6,0
1996,50,50,1,20,1,0,0,1,0,1,0,7,0
2001,50,50,0,34,1,0,0,1,0,2,0,6,0
2005,50,50,1,34,1,0,0,1,0,1,0,6,0
2007,50,50,0,29,1,0,0,1,0,1,0,6,0
1995,50,50,0,29,1,0,0,1,0,1,0,6,0
1990,90,90,0,74,1,0,0,3,0,1,0,5,0
2010,50,50,0,44,1,0,0,1,0,1,0,7,0
2009,50,50,0,39,1,0,0,1,0,1,2,6,0
1998,50,50,0,44,1,1,2,1,0,0,0,5,1
2005,50,50,1,39,1,0,0,1,0,1,0,6,0
2009,50,50,0,49,1,0,0,1,0,1,0,7,0
2003,50,50,0,34,1,0,0,4,0,1,0,6,0
1999,50,50,0,24,1,0,0,1,0,1,0,5,0
1987,50,50,0,74,1,2,0,1,0,1,0,7,0
1999,50,50,1,39,1,0,0,1,0,1,0,6,0
1992,50,50,1,39,1,0,0,4,0,1,0,6,0
2000,80,90,1,39,1,0,0,1,0,1,0,6,0
1998,50,50,0,24,1,0,0,4,0,1,2,5,0
1900,50,50,0,75,1,0,0,1,0,1,0,6,0
1991,50,50,1,20,1,0,2,1,0,1,0,5,0
2005,50,50,1,34,1,0,0,4,0,1,0,6,0
2002,50,50,0,54,1,0,0,4,0,1,0,7,0
2004,70,70,1,24,1,0,0,4,0,1,2,6,0
2009,50,90,0,49,1,0,0,4,0,1,0,6,0
1992,90,90,0,74,1,0,0,3,0,0,0,7,1
1995,90,90,0,54,1,0,0,4,0,2,0,5,0
1995,50,50,0,54,1,0,0,3,0,1,0,6,0
1997,50,50,1,39,1,0,0,1,0,1,2,5,0
1996,50,50,0,54,1,0,0,4,0,1,0,6,0
1992,50,50,0,54,1,0,0,4,0,3,0,6,0
2000,50,50,0,49,1,0,0,3,0,2,0,7,1
2001,50,70,0,39,1,0,0,4,0,1,0,6,0
2001,50,50,0,49,1,0,0,4,1,1,2,6,1
1998,50,50,0,49,1,0,0,1,0,1,0,6,0
2005,120,120,0,44,1,0,0,0,0,1,1,7,0
2002,50,90,1,34,1,0,0,3,0,1,0,6,0
1998,50,50,0,24,1,0,2,1,0,2,0,6,0
2005,50,50,0,39,1,0,0,1,0,1,0,6,0
1998,50,50,1,24,1,0,0,1,0,1,0,7,0
1999,50,50,0,74,1,1,2,1,0,1,0,6,0
2010,50,50,1,44,1,0,0,4,0,2,0,6,0
1996,50,50,0,34,1,0,0,1,0,1,0,6,0
2009,90,90,0,24,1,0,2,0,0,1,1,6,0
