aNumFeridosgravesa30dias,aNumFeridosligeirosa30dia,aNumMortosa30dias,aFactoresAtmosféricos,aNatureza,aCaracterísticasTecnicas1,aCondAderência,aEstadoConservação,aTraçado1,aTraçado2,aTraçado3,aTraçado4,pAcessóriosPassageiro,cvSexo,cvIdade
0,2,0,0,8,0,6,0,0,2,1,1,0,1,39
2,1,0,0,16,0,5,0,0,2,0,3,4,0,24
0,1,0,0,7,2,6,1,0,2,0,1,0,0,34
0,1,0,1,7,0,7,1,0,0,2,1,0,0,29
0,1,0,1,8,0,7,0,0,0,1,1,4,0,29
0,1,0,0,16,0,6,0,0,0,0,1,0,0,49
0,2,0,0,3,0,6,0,0,2,1,1,0,1,44
0,2,0,0,10,0,6,0,0,2,0,1,0,0,49
0,1,0,1,16,0,7,1,0,0,2,1,0,0,24
1,3,1,0,8,2,6,0,0,0,1,1,0,0,49
0,1,0,1,9,0,5,1,0,2,2,1,0,1,17
0,2,0,0,8,1,6,0,0,2,1,1,0,0,44
0,3,0,1,8,0,7,0,0,2,2,1,0,0,39
0,1,0,0,7,0,6,0,0,2,0,1,0,0,59
0,2,0,0,12,0,6,0,0,2,2,3,0,0,49
1,2,0,0,5,0,5,1,0,2,1,1,1,0,54
0,1,0,0,9,0,6,0,0,2,1,1,0,1,34
0,6,0,0,7,1,6,0,0,0,1,1,0,0,44
0,1,0,0,9,0,6,0,0,0,1,1,0,1,24
0,2,0,1,16,0,5,1,0,2,2,1,0,0,39
0,1,0,1,15,0,7,1,0,0,0,3,0,0,54
0,2,0,0,7,2,6,1,0,2,2,1,1,1,34
0,2,0,0,7,2,6,0,0,2,2,1,4,0,39
0,1,0,0,16,0,6,1,0,2,2,1,0,0,20
0,2,0,0,9,2,6,1,0,0,1,1,0,1,49
0,1,0,1,16,0,7,0,0,0,1,1,0,0,54
0,5,0,0,7,0,6,1,0,2,2,1,0,1,44
0,1,0,0,5,0,6,0,0,0,1,1,0,1,59
0,3,0,0,7,0,6,0,0,2,2,1,4,0,20
0,2,0,0,9,1,6,1,0,0,1,1,0,1,24
1,2,0,0,10,0,6,0,0,2,2,1,0,0,75
0,1,0,0,9,2,5,1,0,0,2,1,0,0,29
0,1,0,0,7,0,6,0,0,2,1,1,0,0,24
0,2,0,0,3,0,6,1,0,0,1,1,3,1,34
0,1,0,0,16,0,6,0,0,2,2,4,0,0,29
0,2,0,0,8,0,6,0,0,0,2,1,0,0,69
0,2,0,0,7,0,5,1,0,2,1,1,0,0,24
1,3,0,1,7,0,7,0,0,0,1,1,0,0,20
1,2,1,0,7,0,6,0,0,2,1,1,0,1,59
0,1,0,0,16,0,6,0,0,2,2,1,0,0,74
1,2,0,1,16,0,7,1,0,2,2,3,1,0,59
0,1,0,1,16,0,6,0,0,2,2,1,0,0,24
0,5,0,1,6,0,7,1,0,0,1,1,0,1,44
0,2,0,1,12,2,6,0,0,0,1,1,0,1,59
0,1,0,0,4,0,5,1,0,0,0,1,0,0,49
