cvAnomatricula,aVelocidadelocal,cvSexo,cvIdade
1997,50,0,34
2003,90,1,54
1998,50,0,29
2003,50,1,34
2005,50,1,39
2008,50,0,75
2002,50,1,39
2006,50,0,29
1992,50,0,24
1988,50,0,24
2006,50,0,69
2008,50,0,20
2007,50,1,59
1993,50,0,59
2005,50,0,29
2003,50,0,44
1996,50,0,20
1998,100,0,59
2008,50,1,39
2002,50,1,44
1997,60,0,39
2000,90,0,24
2009,90,0,24
2010,100,0,39
1997,50,1,44
2010,50,0,24
2000,90,0,44
2000,50,0,24
1999,50,1,34
1999,50,0,59
2010,50,1,34
2000,50,0,49
1993,50,0,59
2006,50,0,54
2006,100,0,49
1994,50,0,54
2007,50,1,29
1998,90,0,34
1998,50,0,44
2005,50,0,44
2004,120,1,34
2001,90,1,34
2007,50,1,39
1997,50,0,59
2010,50,0,54
1997,80,0,24
2002,50,1,34
1996,50,0,49
2007,50,0,29
2004,60,0,75
1997,50,0,59
2001,70,0,24
2010,50,0,44
1989,50,0,44
2007,50,0,17
1990,50,0,24
1994,50,0,54
1998,50,0,54
1996,60,1,20
2006,50,0,44
1995,100,0,54
1999,120,0,44
2002,80,0,34
2005,50,0,39
1998,60,1,24
1987,50,0,54
2000,50,0,20
2001,50,0,29
2007,50,0,20
2003,80,0,34
1993,50,0,44
2004,90,0,39
1976,50,0,74
1993,80,0,54
2008,50,0,20
1999,50,1,29
2009,50,1,44
2000,50,0,49
2005,90,0,24
2006,50,0,39
1997,50,1,39
2006,120,1,34
2009,90,0,54
2003,50,0,59
2003,50,0,59
1988,50,1,75
2004,50,0,24
2006,50,0,34
1994,50,0,20
2007,90,0,69
2001,120,0,34
2000,50,0,59
2002,50,0,69
2005,50,0,29
2006,50,1,44
1994,50,1,20
2002,50,0,34
1998,50,0,34
1992,50,1,39
2000,120,0,59
2004,50,0,34
1997,50,0,69
2003,60,0,20
2001,50,0,49
2006,90,1,54
1997,50,0,54
1999,50,0,69
2001,120,0,39
1995,50,0,20
2001,50,0,20
2000,120,0,49
2001,50,1,39
1990,80,0,74
2000,50,0,75
2008,100,1,29
2001,50,1,39
2008,50,1,34
1991,50,1,24
2002,50,1,34
2010,50,0,34
2006,50,0,29
2000,120,0,34
2000,50,0,54
1994,50,1,29
2009,50,0,34
1992,50,0,75
1990,50,0,20
1994,60,1,49
2006,50,0,54
2010,50,0,20
1997,50,0,20
1999,120,1,24
2000,80,0,49
2006,90,0,29
1999,50,0,69
2007,50,0,44
1999,90,1,39
2006,50,1,24
2001,50,1,44
2008,50,1,59
2000,50,0,74
2005,50,0,75
1996,50,0,75
2003,90,0,75
2010,50,1,39
2008,50,0,34
1988,50,0,39
1996,50,0,39
2002,50,0,34
2000,50,0,54
2007,120,1,24
1998,50,0,74
1997,50,0,44
1995,50,0,24
2000,50,0,39
2007,50,0,39
2004,120,1,54
2008,50,0,24
2002,50,0,39
1997,50,0,20
1990,50,0,39
2000,120,0,34
1993,90,1,24
1998,50,0,59
2009,50,0,59
1997,50,0,39
2003,50,1,24
1991,90,0,74
1989,50,0,39
2004,50,1,24
2003,120,0,44
1999,50,0,39
1993,50,0,24
2003,50,0,20
2000,90,1,34
1998,50,0,29
2010,50,0,39
1994,80,0,69
2003,90,0,29
1999,50,0,39
2003,50,0,39
2000,50,0,34
2005,50,0,34
1992,50,0,34
1985,50,0,69
2008,50,0,20
1994,50,0,24
2010,50,0,34
1998,120,0,44
2008,50,0,34
2006,50,0,29
2006,120,0,29
1994,50,0,34
2010,50,1,24
2009,50,0,29
2008,50,0,39
2006,50,1,20
1992,50,0,34
2001,50,0,49
2003,90,0,74
2005,50,0,24
1978,40,0,34
2001,50,0,44
2006,50,0,69
2004,50,0,49
1984,90,0,34
2000,50,0,24
2006,100,1,39
1991,50,0,39
2001,50,0,24
1997,100,1,49
2001,50,0,59
2006,50,1,24
1998,50,1,24
1998,50,1,39
2009,50,0,59
1996,50,1,44
1994,80,1,49
1986,50,0,54
2008,50,1,39
2001,50,1,54
2005,50,1,34
2009,50,0,54
1994,50,1,29
2005,50,1,29
1993,120,0,34
1993,50,0,34
1999,50,0,69
2009,50,0,39
1999,90,0,54
2004,50,0,69
2006,50,0,54
2005,50,1,49
2000,120,0,74
1993,50,0,24
2007,50,0,44
2004,50,1,34
2003,70,0,39
1997,70,0,44
1998,120,1,24
1993,50,0,34
2004,90,1,29
1991,50,1,20
2002,50,0,74
2005,90,0,54
2001,50,0,24
1999,50,1,29
2007,50,0,44
2007,90,1,54
2006,50,0,74
2000,120,0,44
1993,90,0,59
2005,50,0,34
2005,50,1,44
2002,50,0,59
1989,50,0,75
1993,90,1,54
1992,50,0,44
2010,50,0,75
2000,50,0,34
1998,50,1,44
2005,50,1,59
2010,50,0,34
2004,50,1,34
2000,50,0,39
2007,50,1,39
1995,50,0,34
1996,120,1,24
2007,50,0,69
2004,50,0,34
2004,50,1,49
2007,50,0,54
2004,50,0,39
2001,50,0,49
2007,50,0,49
2011,120,0,49
2006,50,0,54
1991,120,0,39
1999,90,1,44
2002,50,1,29
2001,50,0,34
1999,90,0,75
1999,50,1,39
2004,50,0,54
1993,50,0,39
2006,90,1,29
2003,50,1,44
2010,50,0,44
1999,90,1,59
2002,50,0,34
1998,50,0,54
1999,120,0,39
2007,50,0,49
2002,120,1,34
1997,50,0,74
1991,50,1,39
1990,90,0,69
1992,90,0,34
2000,50,0,34
1999,50,1,69
1999,50,0,54
1994,50,0,24
2001,50,0,20
2010,90,0,49
2001,50,0,34
1999,50,1,29
1999,50,0,69
1998,50,1,29
2007,120,0,24
1990,40,1,54
1999,50,0,39
1994,90,0,74
2001,50,0,54
1993,50,1,20
2005,50,0,75
2010,50,0,39
2003,80,0,29
2005,50,0,39
1991,50,0,29
1998,90,1,39
2005,50,1,49
2004,50,0,34
2007,50,0,34
1991,50,0,20
1993,50,0,69
1996,60,0,54
1996,50,1,39
2008,50,0,39
1992,50,0,29
1999,50,0,49
2004,50,0,69
1997,90,1,20
1995,100,0,74
1999,50,0,44
2005,50,0,29
2001,90,1,34
1992,50,1,39
1997,50,1,24
2004,50,0,29
2005,50,0,29
2005,90,1,24
2009,50,0,69
2010,50,1,24
2003,120,0,39
1993,50,0,34
2001,50,0,34
1994,90,0,34
2010,50,1,54
2000,50,0,74
2009,50,0,34
1992,50,0,54
1999,50,0,59
1997,50,0,39
2010,50,1,34
1995,50,0,24
2005,50,0,49
2000,50,1,20
2008,50,0,74
2003,50,1,54
2004,50,1,39
2006,50,1,44
2006,50,1,34
2006,50,0,34
1996,50,0,39
1988,50,0,69
2006,50,0,59
1985,50,0,44
2005,50,0,49
1998,50,0,20
2000,90,1,24
2005,50,1,39
2000,50,0,24
2000,50,1,24
2008,50,0,44
2010,50,0,44
2002,50,0,44
1995,90,0,54
2002,50,0,24
2007,70,1,59
2005,50,1,39
2003,50,0,29
2009,50,0,34
1998,80,0,59
1972,50,0,39
2003,50,0,44
1998,50,0,24
2007,50,1,49
2005,120,1,20
1998,120,0,39
2008,50,0,39
2004,50,0,29
2004,50,0,34
2008,50,0,44
2005,50,0,29
2002,50,0,44
1993,50,1,24
2000,50,0,24
2010,90,0,34
1998,90,0,34
2002,80,0,39
1992,50,0,24
1993,50,0,54
2009,90,0,44
1999,50,1,29
1997,50,0,24
2010,100,0,29
2008,50,0,44
1988,50,1,69
2001,50,1,69
2001,50,0,54
2001,50,0,24
1993,50,0,54
1998,50,0,29
2000,50,0,34
2008,50,1,20
2006,50,0,34
1994,90,0,59
2003,50,1,75
2006,50,0,54
2003,50,0,49
1995,50,0,49
1993,50,0,69
1998,50,1,20
1992,50,0,29
2010,50,0,44
2007,50,0,74
1992,50,0,39
2008,50,1,29
2008,120,1,29
2001,50,1,59
2001,50,0,54
2010,50,0,49
2008,50,1,54
1994,50,0,54
2004,50,0,20
1997,50,0,29
2002,50,1,34
2005,120,0,44
1988,50,0,34
1999,90,1,24
2000,50,1,75
2004,50,0,34
1998,50,0,49
2005,50,0,20
1998,50,0,69
2000,50,1,24
2009,90,0,29
1995,50,0,24
2010,120,1,54
1992,90,1,24
2008,90,0,44
2009,100,0,39
2011,50,0,39
2000,50,0,34
2003,90,1,54
2010,50,0,44
2003,40,0,39
2009,50,0,34
2007,50,1,34
2004,50,1,39
1999,50,0,29
2008,60,0,54
1999,50,0,54
1992,50,0,24
1978,50,0,75
1997,50,1,49
1979,90,0,34
2010,50,0,49
2012,50,0,75
2001,50,0,39
1988,50,0,20
2006,90,0,44
1999,60,0,74
2004,90,0,49
1991,50,0,34
1996,50,0,39
1995,50,0,20
2007,50,1,24
1999,50,0,74
2009,50,0,49
1999,50,1,54
1997,50,0,29
2000,90,0,75
2008,50,0,29
1993,50,0,54
1996,80,0,20
2009,50,0,49
2000,120,0,34
1996,50,1,49
2007,50,0,49
1993,50,1,34
2009,50,0,49
2005,50,0,39
1992,90,0,39
2010,50,1,44
2010,90,0,24
2011,50,0,39
1997,50,0,69
2004,50,0,54
1999,50,1,59
2004,50,0,29
1999,50,0,49
2001,50,0,34
2001,50,0,39
2007,50,1,39
2010,50,0,44
1997,50,0,59
1994,90,0,54
2009,50,0,54
1997,90,0,39
2009,50,0,29
1990,70,0,29
2000,50,0,24
1999,40,0,49
2005,50,0,54
2000,50,1,29
1998,50,1,39
2011,50,0,39
1994,50,1,39
1995,50,0,39
2007,90,0,34
2006,50,1,29
1998,50,0,34
2000,70,1,39
1995,50,0,34
2002,50,1,54
1982,50,0,34
2004,50,0,29
2001,50,0,29
2005,50,1,34
2011,50,0,44
2002,50,1,44
2000,50,0,44
2007,50,0,24
1998,30,1,39
2007,50,1,39
2012,50,0,49
2001,90,0,44
2003,50,0,39
2009,90,0,39
2003,50,0,39
2002,50,0,20
1996,50,0,74
2005,50,1,39
2007,50,0,24
2007,120,1,29
2011,50,0,29
1983,100,0,44
1996,50,0,29
2005,50,0,44
2001,50,0,24
1997,50,1,44
1994,50,1,49
1998,50,1,54
2001,50,0,49
2007,50,1,49
2008,50,1,39
2001,50,0,44
1997,50,0,44
2001,50,0,29
2005,70,0,29
1999,50,1,44
1995,50,0,74
1998,90,0,75
2004,50,0,44
2002,50,1,29
1999,90,0,49
2007,50,0,39
1991,50,1,49
2001,50,0,75
2008,50,0,39
1994,50,0,69
2003,50,1,24
1996,90,0,44
2003,50,0,44
2011,90,0,24
2011,50,0,29
2005,60,0,39
2010,50,1,20
2011,50,0,39
2001,50,0,69
2008,90,0,44
1999,50,0,54
2004,50,0,39
1998,50,0,49
2010,50,1,54
1997,90,1,29
2000,80,0,29
2006,90,1,34
2000,90,0,44
1998,50,1,49
2004,50,0,39
1997,50,0,59
2006,50,0,34
2000,80,0,44
1998,50,1,34
2007,50,1,69
2008,50,1,49
2005,50,0,75
2006,50,1,69
2012,50,0,29
1999,50,0,39
2006,50,0,49
1993,50,0,39
2001,90,0,44
2008,60,0,44
2008,80,1,39
2002,50,1,39
2008,40,1,49
1998,80,1,20
2001,50,0,24
2008,50,0,44
2010,70,1,44
1978,50,0,74
2000,90,0,59
2009,50,0,34
2000,50,0,59
1995,50,0,34
2000,50,1,49
2002,50,0,29
2004,50,1,49
1992,50,0,75
2005,50,0,17
2001,50,0,34
2003,50,0,39
2008,50,1,44
1990,50,0,54
1998,120,1,59
2003,90,0,75
2006,50,0,49
2007,50,0,39
2001,50,0,34
2011,50,0,34
1998,120,0,74
2001,50,0,54
2005,50,1,49
1996,90,0,74
2003,90,0,59
1990,50,1,44
2010,50,0,59
2002,50,0,29
2007,50,1,49
2006,80,1,24
1999,50,0,20
2011,50,0,29
1994,50,1,59
2010,50,0,24
2005,90,1,34
1995,50,1,24
1999,50,0,34
1999,50,0,44
2010,70,0,59
2001,50,1,29
1996,90,0,44
2008,50,0,54
2010,80,1,54
2008,50,0,49
2003,120,0,34
2007,120,0,24
2001,50,0,54
1994,90,0,20
1989,90,1,20
2010,50,1,54
2007,50,1,39
2004,50,0,44
2010,50,0,49
2005,50,0,69
2006,50,0,49
2006,50,0,24
1997,50,0,59
2011,50,1,24
1997,50,1,39
2006,50,1,29
2006,50,0,29
1998,50,0,49
2000,50,0,44
2010,50,0,69
2000,50,0,34
1991,50,0,20
1999,30,0,29
2005,50,0,59
2005,90,1,24
1997,70,1,34
2009,50,0,29
2005,50,0,49
2009,50,0,75
2007,120,1,44
1998,50,1,34
1997,50,1,75
1996,50,1,44
2001,50,1,39
1997,90,0,20
1994,90,0,75
2007,50,0,39
2010,50,0,34
1992,90,0,29
1994,50,0,29
1993,80,0,39
2003,90,0,44
1988,50,1,34
2010,50,1,44
1993,50,1,29
2001,50,1,39
1998,50,0,29
1996,120,1,34
2000,80,0,24
1997,50,0,29
1993,50,0,69
2008,90,0,29
2011,50,0,39
2011,90,0,39
2008,90,0,49
1999,50,0,39
2004,50,0,54
2008,50,0,59
2006,50,0,59
2001,50,0,29
1999,90,0,39
2002,50,1,49
2000,50,0,49
2002,50,0,54
2005,50,0,54
2005,50,1,59
1997,50,0,59
2000,50,0,44
1998,90,0,39
2011,50,0,44
2010,50,0,29
2010,50,1,34
1999,50,0,49
2004,50,0,39
2004,90,1,44
2008,50,1,34
1989,50,0,24
2000,50,1,34
2003,90,0,20
2010,50,0,39
2009,50,0,59
2007,50,0,20
2010,80,0,39
1991,50,0,29
1996,50,1,59
2010,50,0,24
2002,50,0,75
2004,50,1,44
2000,50,0,59
1993,90,0,54
1996,90,0,75
2005,50,0,20
2004,50,0,49
1997,50,0,24
2007,90,0,54
1993,50,1,39
1991,50,0,74
1993,50,0,59
2010,90,0,34
2008,50,0,39
1995,50,0,29
2007,80,0,54
2002,50,0,24
2000,80,0,49
2003,100,1,29
2002,50,1,39
2004,50,0,24
1992,50,0,39
2011,50,0,34
2011,50,1,17
1997,50,1,34
2010,50,0,59
1992,50,0,20
2004,50,0,34
2001,90,0,44
1998,50,0,34
1999,50,0,44
1996,50,0,39
1998,50,1,44
2001,90,0,34
2006,50,1,44
2007,50,0,29
2011,50,0,59
2005,50,1,39
1997,50,0,39
1994,50,0,49
2008,50,0,34
2010,50,0,69
2005,50,1,54
1999,50,0,44
1997,120,1,54
2003,50,0,24
1996,50,0,44
1998,50,1,34
1996,50,1,29
2001,50,0,24
2005,120,1,39
2007,50,0,49
2005,50,0,20
2006,50,0,39
2005,50,0,34
2008,50,0,17
2007,50,0,34
2009,50,0,69
1997,50,1,44
2009,90,0,69
2003,50,0,20
2004,50,1,29
1997,90,1,49
1999,90,0,44
1997,50,1,39
1999,50,0,29
2003,50,1,29
2005,50,1,34
2010,50,0,29
1993,90,1,29
1998,50,0,24
2004,50,1,44
2007,50,1,44
2006,80,0,34
2000,50,1,39
2008,50,0,24
2004,50,0,39
2000,50,1,39
1998,50,1,20
2009,50,1,17
2007,120,1,34
2007,50,0,24
1995,50,0,69
2000,40,1,54
1998,50,0,44
2010,50,1,44
1999,60,0,29
2001,90,0,24
1995,50,1,49
1995,50,1,29
2000,100,0,24
1990,90,1,54
2007,50,1,29
2007,45,0,75
1999,50,1,20
2004,50,0,29
2010,50,0,34
1989,50,0,39
1997,50,0,49
1996,50,1,69
1998,50,1,34
2002,50,1,29
2003,50,0,34
1999,50,0,34
1998,50,0,74
2011,50,0,75
1986,50,0,75
2009,50,0,54
1985,90,0,74
2005,120,1,39
2000,50,0,49
1998,90,0,59
1993,50,0,20
1993,50,1,29
2002,50,0,54
2007,50,1,20
1986,50,0,34
1988,50,0,75
2005,70,0,34
2007,70,0,69
2000,50,0,39
2007,50,1,29
2007,50,0,29
1995,50,1,49
2005,50,0,39
2001,50,0,20
2002,50,0,39
1995,50,0,49
1994,50,1,24
2007,50,1,59
2010,50,0,39
1999,50,0,59
1996,50,1,44
2007,20,0,34
1996,50,0,34
1997,50,1,39
2008,50,0,75
2006,50,1,44
1994,90,0,44
2005,50,1,49
2001,50,0,54
1992,50,0,29
2006,50,0,75
2000,50,0,34
2010,50,0,20
2000,80,0,29
2004,120,0,39
2012,50,1,20
1990,70,0,69
2001,50,0,29
1991,50,0,54
2010,50,1,44
2000,50,0,24
1987,100,0,69
2008,120,0,74
2007,50,1,44
2008,50,0,17
2007,50,0,69
2011,50,0,54
1998,50,1,39
2003,50,0,74
1996,50,1,49
1995,50,0,54
2009,100,0,54
2003,50,1,34
2001,50,0,34
2008,50,1,24
1987,50,0,20
2008,90,0,39
1995,50,0,54
1990,50,1,34
2000,50,0,44
1999,50,1,34
2011,90,0,74
2008,50,0,44
2006,120,0,24
1998,50,1,69
2005,50,0,39
1999,90,1,59
1991,50,0,39
2005,120,0,44
2002,50,0,29
2000,70,1,24
1997,50,1,39
2008,50,0,39
2006,90,0,69
2011,50,1,20
1991,50,0,29
1999,50,0,49
2007,50,1,44
1994,50,0,59
1999,120,0,29
2003,50,1,29
1999,50,0,75
2007,90,0,34
2007,50,0,44
1996,50,1,24
2000,60,0,44
1997,50,0,54
2000,50,0,39
1990,90,0,17
1987,50,0,20
2003,50,1,34
1993,50,0,74
2007,50,0,29
2008,50,0,49
2005,50,0,49
1992,50,0,34
2007,50,0,34
2012,90,0,24
1992,50,0,44
2008,50,0,44
1989,90,0,20
1998,90,1,24
1998,50,1,24
2004,90,0,24
1999,50,0,44
1990,50,1,29
2006,50,0,39
2007,50,0,54
2000,50,0,59
2003,50,0,54
1994,50,0,74
2011,50,0,20
2010,90,0,34
2011,50,1,24
2005,50,1,34
1987,50,0,24
1999,50,0,54
1998,50,0,29
2009,50,0,54
1998,50,0,39
1994,90,0,39
1998,50,0,20
2003,60,0,74
2007,50,0,20
2004,50,0,69
1998,50,0,29
2008,50,0,29
1989,50,0,29
1998,60,0,29
1997,30,1,44
2007,50,0,44
1997,90,0,39
2007,50,0,20
2008,50,0,29
1999,50,0,59
1996,50,0,39
2011,50,0,75
2007,90,0,24
2005,50,0,69
2000,50,1,39
2001,50,1,34
2010,50,1,20
2007,50,1,34
1991,50,1,39
1995,80,0,69
2002,50,0,75
2008,50,0,54
1985,100,0,54
1997,50,0,74
2008,90,1,44
2008,50,0,20
2005,50,1,20
2001,50,1,44
2004,90,0,39
2006,50,0,34
2000,50,0,29
1993,90,0,59
2001,50,0,49
2007,50,0,20
2002,50,0,39
2002,30,0,44
1988,50,0,17
2001,50,0,59
1994,90,0,74
1984,50,0,39
1998,50,0,39
2010,50,1,34
1999,50,1,34
1997,50,0,44
2011,50,0,54
1993,50,0,69
2001,50,0,34
2001,50,1,29
1994,50,0,34
1998,50,0,75
1999,50,1,49
1998,50,0,44
2011,60,0,74
2009,60,1,34
2003,50,0,29
1995,90,0,59
2004,80,1,59
1996,50,0,29
2006,50,0,54
1995,50,0,29
1998,50,0,59
1993,60,0,59
2006,50,1,34
1997,50,1,29
2000,50,0,17
1984,50,0,75
2009,50,0,29
1999,50,1,54
2002,50,0,39
1997,50,1,24
1992,70,0,39
2001,50,0,34
1998,50,0,69
1993,50,0,44
2010,50,0,74
2008,50,0,24
2009,50,0,24
1993,50,0,39
1992,90,1,75
2004,120,0,29
2005,50,0,29
2005,50,1,49
1998,50,0,75
1998,50,0,54
2009,50,0,29
2003,90,0,34
2000,50,0,29
1998,50,1,39
1994,50,0,69
2012,50,0,59
1992,50,0,39
1988,50,0,39
2006,50,0,69
1994,50,0,54
2005,50,0,44
2001,50,0,20
2006,50,0,69
2009,50,0,49
2011,50,0,44
2009,50,1,20
2010,120,1,34
2007,50,0,29
2007,50,1,39
2004,50,0,29
2001,50,0,59
2007,50,0,24
1999,50,0,39
1997,50,1,39
2004,50,0,29
1986,50,0,54
2001,50,0,20
2003,50,0,24
1995,50,1,24
1996,50,1,49
2010,90,0,34
2000,50,0,29
2007,90,0,54
2000,50,0,20
1993,50,1,44
1990,50,0,49
2000,90,0,29
1986,50,1,75
2005,50,0,29
1992,50,0,69
1999,50,1,54
2001,50,0,54
2000,50,1,29
2006,50,1,49
1998,50,0,59
1992,50,0,75
2002,50,0,44
1997,50,1,49
1996,50,0,59
2007,50,0,75
2011,50,1,69
2003,50,0,39
1998,50,1,29
1991,90,1,74
1996,50,1,29
1993,50,0,75
1994,50,1,39
2009,50,1,24
1999,50,1,39
2005,50,0,49
1998,50,0,39
2010,50,0,29
2005,50,0,59
2002,50,0,34
1999,50,0,34
2004,50,0,59
2007,50,1,54
1997,50,1,49
2000,50,1,69
1998,50,1,34
2010,50,1,44
2002,50,0,49
2005,50,0,75
2007,50,0,20
1998,90,0,54
2006,50,0,54
2007,50,0,17
2006,50,0,39
2003,50,0,54
2003,90,1,24
2005,50,0,44
1994,50,0,29
2000,90,1,29
1993,50,0,49
2006,90,1,24
2007,50,1,39
1998,50,0,20
1987,50,0,34
2006,50,0,44
1994,50,0,49
1990,50,1,29
1993,50,0,24
2012,50,0,34
2002,50,0,39
2004,50,0,44
1994,90,0,74
2004,50,0,44
2000,50,1,39
2001,90,0,74
1993,50,0,20
1995,50,1,20
2006,50,0,54
1993,50,1,39
2007,50,0,34
2008,50,0,39
1997,50,0,34
2008,50,0,20
1999,50,0,74
2000,90,0,74
2002,50,0,74
2002,50,0,29
1989,50,0,59
2004,50,0,44
1999,50,0,34
2006,50,0,24
2004,50,1,49
2010,50,1,34
2000,50,0,34
1997,90,1,34
2003,120,1,39
2006,100,0,24
1996,50,0,54
2007,90,0,29
2010,50,0,44
2000,50,0,49
2007,50,1,34
2009,50,0,39
2002,50,0,39
2003,50,1,49
2000,50,1,39
1997,90,1,44
1998,50,1,34
2005,50,0,74
2007,50,0,29
2003,50,0,34
2011,50,1,34
1995,50,1,20
2007,90,1,34
1998,90,0,54
2000,50,1,59
2011,50,0,59
2000,120,0,29
2007,80,1,49
2011,100,0,24
1992,90,0,54
2000,50,0,69
2005,50,0,29
1993,90,1,24
1996,50,0,59
1993,50,0,75
2003,120,1,39
2002,50,0,54
2006,50,0,54
2002,50,0,54
2000,50,1,49
2010,50,1,49
2010,50,0,24
2010,50,0,29
2011,50,0,39
1992,50,0,24
2000,50,0,39
1999,100,0,34
2003,50,1,59
1995,50,1,29
1988,90,0,75
1985,50,0,39
2000,50,0,49
2002,50,1,39
1994,90,0,49
1972,50,0,54
2002,50,1,54
2011,50,1,39
2005,50,1,39
1997,50,1,39
1994,50,0,49
2005,50,0,34
1999,50,0,44
1999,50,0,74
1996,90,0,39
1998,50,1,54
1994,50,0,24
2004,120,0,20
2001,50,1,29
2001,50,1,59
2011,90,0,74
1998,100,0,29
1998,90,0,39
2001,50,1,29
2003,100,0,34
2008,50,1,20
2006,50,0,39
1990,50,0,59
2005,120,1,24
2007,50,1,24
2006,50,0,39
2007,50,0,49
2005,50,1,29
1988,50,0,59
2008,90,0,29
2005,50,1,39
2006,50,0,44
1994,50,0,74
1989,120,0,75
2003,50,0,34
2010,40,1,34
2001,50,1,69
2006,50,0,29
1994,100,0,49
2008,50,0,34
2005,50,0,39
2007,50,0,49
1991,50,0,34
2005,90,1,54
1984,50,0,69
1998,50,1,20
2005,50,0,34
2008,50,1,39
1994,50,1,59
2008,90,0,44
2008,50,1,44
2005,50,1,44
2010,50,0,49
2008,50,0,59
2006,90,0,44
1999,90,0,69
1998,50,0,39
1998,50,0,34
2002,50,1,39
2006,50,0,24
2000,90,0,49
1999,50,0,34
1989,50,0,75
1997,50,0,24
2008,50,0,34
1996,50,1,44
2010,80,0,29
2010,50,0,54
2011,50,0,69
1993,50,0,49
2005,50,1,44
2006,50,0,49
1992,50,1,29
1985,50,1,59
2003,90,0,49
2007,40,0,34
2008,90,0,34
2007,50,1,49
2004,50,1,44
2004,50,0,44
2008,90,0,59
2000,50,0,49
1997,50,1,49
2010,120,1,34
2005,80,1,44
2000,50,0,39
1999,50,0,44
1985,50,0,49
1997,50,1,39
2004,50,0,75
2002,70,0,44
1997,50,0,39
1988,50,1,49
1992,60,0,69
2001,50,1,44
2008,50,0,74
2006,50,0,54
2003,50,1,44
1982,50,0,44
2007,50,0,75
1993,120,0,74
2010,50,0,59
2000,50,0,24
2007,50,0,69
2006,50,1,24
2004,50,1,44
2008,50,0,20
2002,50,0,44
1999,50,0,29
2011,120,0,29
1996,50,1,59
2002,50,0,59
2001,50,0,29
2006,50,0,39
1993,50,1,39
2009,50,1,24
1996,50,1,39
1998,50,1,54
1999,50,0,39
2003,50,1,34
1998,50,0,54
2001,50,0,39
2006,50,0,34
1993,90,0,49
2000,50,0,39
1995,50,0,39
2001,50,0,44
2007,50,0,44
2008,50,0,69
2002,100,0,59
2005,50,0,29
2005,50,0,39
1998,50,0,74
2008,50,0,44
1995,50,0,39
1994,50,1,29
2003,60,0,44
1996,50,1,59
2010,50,0,49
1996,50,0,20
2008,50,1,29
1993,40,0,69
2010,50,0,29
2004,50,0,74
1996,50,0,74
2000,50,0,44
2004,100,0,34
2005,50,0,24
2010,50,1,29
2010,50,1,39
1995,50,1,44
1994,50,0,29
2010,50,1,49
2000,50,0,29
1991,50,0,29
2007,50,1,29
2005,50,0,59
2004,50,0,49
1997,50,0,49
1984,50,0,39
2006,100,0,44
2002,50,0,74
1993,90,0,75
2010,50,0,20
2000,70,0,34
1988,50,1,20
2005,50,1,59
2003,90,1,20
2000,80,0,39
1996,90,0,74
1994,90,0,75
1997,50,0,75
1996,50,0,69
2004,50,0,54
2012,50,1,49
1999,50,0,34
2012,50,0,59
2005,50,0,39
1998,50,0,44
2005,50,1,24
1998,90,0,24
2011,50,0,49
2002,50,1,39
2007,50,0,75
1990,50,1,54
2001,50,0,49
2000,90,0,74
2001,50,0,39
2007,50,0,49
2003,50,1,24
1991,50,0,75
1999,50,0,49
1997,120,0,49
1995,50,0,59
1998,50,0,49
2010,50,0,24
2005,50,0,54
1998,50,1,69
1999,40,1,39
1999,50,0,49
1998,50,0,75
2005,50,1,34
2010,50,0,49
1995,50,0,39
2011,50,0,24
2012,50,0,69
1997,50,1,24
2001,50,0,75
2001,50,0,39
2006,50,0,39
2001,60,1,34
2000,50,0,49
2008,50,0,39
2000,50,0,54
1982,50,0,34
1993,90,0,20
2001,50,0,34
2003,50,0,24
2000,50,0,49
2006,50,1,34
1999,50,0,20
2005,50,0,59
1999,90,0,54
2004,50,0,39
2008,50,1,34
2002,30,1,49
2004,120,0,29
2002,50,0,34
2010,50,1,29
2007,50,1,69
2007,120,0,39
2006,50,0,39
1993,50,0,75
1999,80,1,29
1994,50,1,44
2001,50,1,34
2011,50,0,34
2009,50,0,54
2006,100,0,59
2012,50,1,29
2003,120,0,49
2001,50,1,34
2001,50,0,74
1995,50,1,49
2001,120,1,29
2000,90,0,34
2009,50,0,29
2007,50,0,24
1996,50,0,44
2003,90,1,49
1999,50,0,34
2008,50,0,24
2009,50,0,29
2005,50,1,39
2000,50,1,44
2008,50,0,20
1991,50,1,75
2008,120,0,49
2010,50,0,39
1996,120,0,74
2007,50,1,34
2011,50,0,59
1989,50,1,54
1999,90,1,39
1994,50,0,17
2010,50,0,24
1988,50,1,39
1998,90,0,34
1999,50,0,49
2009,90,0,49
2002,40,0,29
2003,70,0,39
1994,50,1,44
1997,50,0,49
2000,50,0,54
2008,50,1,34
1991,90,0,24
2012,50,0,29
2009,50,0,20
2002,50,0,24
2003,50,1,39
1998,50,0,69
1997,50,0,44
2006,50,1,34
2007,50,0,54
2001,50,0,75
2007,50,1,75
2003,50,1,29
1990,50,0,44
2007,90,1,24
1997,50,0,59
2003,50,0,69
2001,50,0,20
2007,90,1,44
2003,50,0,34
1991,50,1,49
2002,50,1,39
1992,50,0,29
1988,30,0,24
2001,50,0,69
2009,90,1,69
1998,50,0,54
1994,50,1,29
1993,90,0,49
1995,50,1,54
2010,120,0,24
2001,50,1,54
2003,50,0,24
2006,50,0,24
1994,50,0,59
2000,50,1,39
2011,90,0,39
2007,50,0,44
1985,50,0,74
2002,50,0,24
2011,50,0,34
2008,50,0,24
1996,50,0,34
2005,90,0,20
