cvAnomatricula,aVelocidadelocal,cvSexo,cvIdade
1990,50,1,29
2009,90,0,39
2000,50,1,54
2008,100,0,29
2008,120,0,44
1992,50,0,59
2004,50,0,59
1992,50,1,44
1993,50,1,44
1994,50,0,24
2007,90,0,49
1992,80,0,39
1990,50,0,44
2001,40,0,34
1996,50,0,29
1989,50,0,24
1992,50,0,59
2004,120,1,29
2002,90,0,34
1991,30,0,69
2005,50,1,59
2000,70,0,74
1998,50,0,59
2006,50,0,54
1999,50,0,54
1998,50,0,34
1999,100,1,39
2001,50,0,49
2007,120,0,34
2000,50,0,34
1999,50,0,39
2006,50,0,29
2008,100,1,34
1996,50,0,69
1998,50,0,69
2005,50,1,29
2002,50,0,75
2009,50,0,24
2005,90,0,49
2002,50,0,29
1993,50,0,49
1999,50,0,20
2003,70,0,29
2003,120,0,34
2001,50,0,17
1986,50,1,44
1996,50,0,54
1998,90,0,34
2004,50,1,49
2004,50,0,29
2003,50,0,39
2000,50,0,29
2009,50,1,29
1996,50,0,44
2008,120,0,34
1980,50,0,34
1999,50,1,49
1997,50,0,54
2004,50,0,49
2003,50,0,59
2007,50,0,24
1996,50,0,44
2009,50,0,54
1998,50,0,34
1995,50,0,49
1989,70,0,54
2007,50,0,24
2005,90,0,44
2001,120,1,49
2004,70,1,39
1999,50,0,34
2008,50,0,74
1993,50,1,54
1991,50,0,39
1998,50,1,24
1993,120,0,49
1999,50,1,44
2005,90,1,39
2004,50,0,29
2005,50,0,49
2009,50,1,44
2000,50,0,39
2003,50,0,24
1999,50,0,44
2004,100,0,39
2009,50,0,20
1995,50,0,49
1995,90,0,44
1997,50,0,20
2005,90,0,74
1997,50,0,75
1996,50,0,44
1998,50,0,54
1998,50,0,49
2008,50,0,74
2002,50,0,49
2000,50,0,54
1998,90,1,34
1991,50,1,29
1998,50,0,29
2010,50,1,39
2004,50,1,44
2008,50,0,74
2001,50,0,34
2002,50,0,29
2003,80,0,34
2008,120,0,29
2000,50,1,49
1995,50,1,34
1992,100,1,75
2002,120,0,39
2008,50,0,44
1997,50,1,29
1999,90,0,17
1990,50,0,20
2009,120,0,39
2006,50,0,17
1992,120,0,34
2009,50,0,75
1999,120,0,29
2007,50,1,44
1999,50,0,74
2008,50,0,44
1995,50,0,34
2001,70,1,24
1999,90,0,24
1997,50,0,34
1996,50,0,29
2007,50,0,54
2007,50,1,34
1997,120,1,39
2000,90,0,29
1994,50,0,49
2006,50,0,29
1991,50,1,24
1996,50,1,39
1998,50,0,54
2007,50,0,34
1995,50,0,34
2002,50,1,49
1997,50,1,39
2006,50,0,39
1996,50,0,34
1988,120,0,20
2009,50,0,39
2008,90,0,59
1997,80,0,49
1989,80,0,59
1997,50,1,39
1994,50,1,44
1999,50,0,29
1995,50,0,34
1993,50,1,44
1997,50,0,49
2001,50,0,24
2008,100,0,34
1994,90,0,34
2006,120,0,29
2009,70,1,44
1989,50,0,59
2006,50,0,59
1999,50,0,20
2003,120,1,39
2005,50,1,29
2004,120,0,54
2007,50,0,34
1998,80,0,59
1998,30,1,39
2002,80,0,34
2002,50,1,20
2001,50,0,34
1995,120,0,29
2003,90,0,34
1986,50,0,75
1987,50,0,49
1991,50,1,20
2006,50,0,44
1996,120,0,34
1995,90,0,39
1998,50,1,29
1991,50,0,59
2000,90,1,24
1999,50,1,29
2002,90,0,29
2010,50,0,20
2006,120,1,34
2006,90,0,69
1998,50,1,44
1997,30,0,49
1996,50,0,39
2000,50,1,29
1998,50,1,39
2008,50,0,54
1994,50,0,29
2005,50,0,49
2003,80,1,49
2005,80,1,44
2006,50,0,44
2008,120,0,24
2006,50,0,44
2005,50,1,29
2002,50,0,44
2008,120,0,29
1996,50,0,39
1987,50,0,59
1997,120,0,34
1998,50,0,34
2000,50,1,34
2006,40,1,24
1996,50,0,44
1994,50,0,54
2008,50,1,29
1996,90,0,44
1999,90,0,39
2006,50,1,44
2008,90,0,59
1992,80,0,69
1995,50,0,39
1990,50,0,49
1993,50,0,39
1995,50,1,39
2007,90,0,29
2005,50,0,44
2005,90,0,29
2004,50,0,34
2009,70,0,75
2007,50,0,20
2001,50,0,54
2006,90,1,29
2002,50,1,34
2005,90,0,54
2008,50,0,44
2007,90,1,59
2006,90,1,44
2001,50,0,34
2002,50,0,74
1998,50,0,75
2000,50,0,59
1996,50,0,49
1996,50,0,34
2009,50,0,29
2007,120,0,34
1997,50,0,44
1998,100,1,20
2001,50,1,54
1994,50,1,54
2005,50,0,39
2000,90,0,34
2007,50,0,34
2000,50,0,54
1998,50,0,29
1991,40,0,20
2005,50,0,29
2009,50,0,34
2000,120,1,29
1997,50,0,34
2003,70,0,39
1991,50,0,24
2004,50,0,49
2009,50,1,17
2002,50,0,44
2001,50,0,54
1994,50,1,59
2007,50,1,44
1995,50,0,49
2001,50,0,44
2005,80,0,20
2002,120,0,24
2004,50,0,29
1999,50,1,59
2002,50,0,59
1994,50,0,34
1995,50,0,20
2002,50,0,49
2006,50,0,75
1999,50,1,54
2000,50,1,34
2005,50,0,29
2005,90,0,29
2005,50,1,34
1996,120,0,24
1996,50,0,75
2000,120,0,39
2007,60,0,59
2007,50,1,29
1998,50,0,54
2007,50,1,39
1981,50,0,24
2005,50,0,24
1999,50,1,29
1995,90,1,54
2002,50,0,54
2004,50,1,24
2007,50,0,39
2006,40,0,75
2000,50,0,24
2006,70,0,34
1997,50,1,44
2000,50,0,54
1998,50,1,54
2007,50,0,59
2006,80,1,29
2007,50,1,34
2006,50,0,75
2007,50,0,17
2001,50,0,24
1996,90,0,29
2002,50,0,39
2008,90,0,17
1995,80,0,34
1997,90,0,44
2007,50,1,49
2001,50,0,24
1995,90,0,24
2005,50,0,39
1998,50,1,59
1999,90,1,59
1998,120,0,49
2009,50,0,59
2007,50,0,54
2006,50,0,24
1988,50,0,75
2001,50,0,24
1999,50,0,49
2000,90,1,29
1998,50,0,24
1982,40,0,59
2008,90,0,54
2003,50,0,39
1993,90,1,20
1992,120,0,74
2008,50,0,74
1999,50,1,24
2000,50,1,39
2006,50,0,44
2002,100,0,49
2002,50,0,59
1994,50,0,24
2008,90,0,54
1998,50,0,49
2007,120,0,49
2002,120,0,49
2006,50,0,29
2006,120,0,34
2001,50,1,54
1999,50,0,44
1998,50,0,75
1997,50,0,54
2007,50,1,59
2003,50,1,39
1994,90,1,49
2007,80,0,74
2000,50,0,24
2000,100,0,29
2005,50,0,34
2000,50,0,24
2009,120,0,49
1994,50,0,69
1998,50,0,29
2001,50,0,34
2000,50,0,34
1993,50,0,34
1988,90,0,39
2005,50,0,49
2002,80,0,49
2009,100,0,54
2003,60,0,29
2005,50,0,49
1998,90,0,44
2006,90,0,49
2008,50,0,54
2004,50,0,17
1992,50,0,20
1997,120,0,34
2000,50,1,34
2007,50,1,59
2000,90,0,54
2000,120,0,39
2001,90,0,54
2003,30,0,75
2007,80,0,29
2004,50,1,49
2007,50,0,69
1988,90,0,69
2010,50,0,54
2009,50,0,39
1997,90,1,39
1996,50,0,39
2003,80,0,54
1998,50,0,20
2001,50,0,17
2008,100,1,24
1998,120,0,54
2002,50,1,69
1988,50,0,59
1998,50,1,29
1978,90,0,29
2004,50,0,59
2005,50,0,34
